date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:56	5232/5232	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225f73c4a6-247b%22	http://srinivasan.design/robots.txt		(from )
15:31:57	17756/17756	---MCZ	200	added ('OK')	text/html	etag:W/%225fd79f31-455c%22	http://srinivasan.design/	C:/My%20Web%20Sites/Portfolio/srinivasan.design/index.html	(from )
15:31:57	2441/2441	---M--	200	added ('OK')	image/png	etag:%225fd79f31-989%22	http://srinivasan.design/images/Appicons/iOS/120.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/Appicons/iOS/120.png	(from http://srinivasan.design/)
15:31:58	3407/3407	---M--	200	added ('OK')	image/png	etag:%225fd79f31-d4f%22	http://srinivasan.design/images/Appicons/iOS/152.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/Appicons/iOS/152.png	(from http://srinivasan.design/)
15:31:59	3787/3787	---M--	200	added ('OK')	image/png	etag:%225fd79f31-ecb%22	http://srinivasan.design/images/Appicons/iOS/167.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/Appicons/iOS/167.png	(from http://srinivasan.design/)
15:32:00	4168/4168	---M--	200	added ('OK')	image/png	etag:%225fd79f31-1048%22	http://srinivasan.design/images/Appicons/iOS/180.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/Appicons/iOS/180.png	(from http://srinivasan.design/)
15:32:00	4397/4397	---M--	200	added ('OK')	image/png	etag:%225fd79f31-112d%22	http://srinivasan.design/images/Appicons/android/192.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/Appicons/android/192.png	(from http://srinivasan.design/)
15:32:01	2446/2446	---M--	200	added ('OK')	image/png	etag:%225fd79f31-98e%22	http://srinivasan.design/images/Appicons/android/128.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/Appicons/android/128.png	(from http://srinivasan.design/)
15:32:02	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225f73c4a6-247b%22	http://srinivasan.design/images/favi.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/favi.6.delayed	(from http://srinivasan.design/)
15:32:03	13058/13058	---MCZ	200	added ('OK')	text/css	etag:W/%225fd79f31-3302%22	http://srinivasan.design/style.css	C:/My%20Web%20Sites/Portfolio/srinivasan.design/style.css	(from http://srinivasan.design/)
15:32:04	17284/17284	---MCZ	200	added ('OK')	text/html	etag:W/%225fd79f31-4384%22	http://srinivasan.design/about.html	C:/My%20Web%20Sites/Portfolio/srinivasan.design/about.html	(from http://srinivasan.design/)
15:32:05	16600/16600	---MCZ	200	added ('OK')	text/html	etag:W/%225fd79f31-40d8%22	http://srinivasan.design/Google.html	C:/My%20Web%20Sites/Portfolio/srinivasan.design/Google.html	(from http://srinivasan.design/)
15:32:07	61886/61886	---MCZ	200	added ('OK')	text/html	etag:W/%225fd79f31-f1be%22	http://srinivasan.design/Zoho%20Sheet.html	C:/My%20Web%20Sites/Portfolio/srinivasan.design/Zoho%20Sheet.html	(from http://srinivasan.design/)
15:32:19	122296/122296	---M--	200	added ('OK')	image/jpeg	etag:%225fd79f31-1ddb8%22	http://srinivasan.design/images/richpreview.jpg	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/richpreview.jpg	(from http://srinivasan.design/)
15:32:20	35451/35451	---MCZ	200	added ('OK')	text/html	etag:W/%225fd79f31-8a7b%22	http://srinivasan.design/Holachef.html	C:/My%20Web%20Sites/Portfolio/srinivasan.design/Holachef.html	(from http://srinivasan.design/)
15:32:27	126981/126981	---M--	200	added ('OK')	image/png	etag:%225fd79f31-1f005%22	http://srinivasan.design/images/Google1.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/Google1.png	(from http://srinivasan.design/)
15:32:28	17979/17979	---MCZ	200	added ('OK')	text/html	etag:W/%225fd79f31-463b%22	http://srinivasan.design/zeta.html	C:/My%20Web%20Sites/Portfolio/srinivasan.design/zeta.html	(from http://srinivasan.design/)
15:33:56	586679/586679	---M--	200	added ('OK')	image/jpeg	etag:%225fd79f31-8f3b7%22	http://srinivasan.design/images/Holachef.jpg	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/Holachef.jpg	(from http://srinivasan.design/)
15:33:58	30789/30789	---MCZ	200	added ('OK')	text/html	etag:W/%225fd79f31-7845%22	http://srinivasan.design/Accu%20drive.html	C:/My%20Web%20Sites/Portfolio/srinivasan.design/Accu%20drive.html	(from http://srinivasan.design/)
15:34:07	764328/764328	---M--	200	added ('OK')	application/pdf	etag:%225fd79f31-ba9a8%22	http://srinivasan.design/Resume_Srinivasan.pdf	C:/My%20Web%20Sites/Portfolio/srinivasan.design/Resume_Srinivasan.pdf	(from http://srinivasan.design/)
15:34:09	22530/22530	---MCZ	200	added ('OK')	text/html	etag:W/%225fd79f31-5802%22	http://srinivasan.design/Experiment.html	C:/My%20Web%20Sites/Portfolio/srinivasan.design/Experiment.html	(from http://srinivasan.design/)
15:35:31	1262093/1262093	---M--	200	added ('OK')	image/png	etag:%225fd79f31-13420d%22	http://srinivasan.design/images/Sheet.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/Sheet.png	(from http://srinivasan.design/)
15:35:37	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258d026fb-15283%22	https://code.jquery.com/jquery-3.2.1.min.js	C:/My%20Web%20Sites/Portfolio/code.jquery.com/jquery-3.2.1.min.js	(from http://srinivasan.design/)
15:35:41	14243/14243	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2002%20Apr%202021%2010:05:39%20GMT	https://rawgit.com/michalsnik/aos/master/dist/aos.js	C:/My%20Web%20Sites/Portfolio/rawgit.com/michalsnik/aos/master/dist/aos.js	(from http://srinivasan.design/)
15:35:50	74368/74368	---MCZ	200	added ('OK')	font/ttf	etag:W/%225fd79f31-12280%22	http://srinivasan.design/fonts/CircularStd.ttf	C:/My%20Web%20Sites/Portfolio/srinivasan.design/fonts/CircularStd.ttf	(from http://srinivasan.design/style.css)
15:35:57	68940/68940	---MCZ	200	added ('OK')	font/otf	etag:W/%225fd79f31-10d4c%22	http://srinivasan.design/fonts/CircularStd-Book.otf	C:/My%20Web%20Sites/Portfolio/srinivasan.design/fonts/CircularStd-Book.otf	(from http://srinivasan.design/style.css)
15:35:59	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225f73c4a6-247b%22	http://srinivasan.design/favi.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/favi.1b.delayed	(from http://srinivasan.design/about.html)
15:36:00	10582/10582	---MCZ	200	added ('OK')	text/css	etag:W/%225fd79f31-2956%22	http://srinivasan.design/style-3.css	C:/My%20Web%20Sites/Portfolio/srinivasan.design/style-3.css	(from http://srinivasan.design/about.html)
15:36:01	17756/17756	---MCZ	200	added ('OK')	text/html	etag:W/%225fd79f31-455c%22	http://srinivasan.design/index.html	C:/My%20Web%20Sites/Portfolio/srinivasan.design/index-2.html	(from http://srinivasan.design/about.html)
15:36:47	1612296/1612296	---M--	200	added ('OK')	image/jpeg	etag:%225fd79f31-189a08%22	http://srinivasan.design/images/zeta.jpg	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/zeta.jpg	(from http://srinivasan.design/)
15:36:48	11282/11282	---MCZ	200	added ('OK')	text/css	etag:W/%225fd79f31-2c12%22	http://srinivasan.design/style-2.css	C:/My%20Web%20Sites/Portfolio/srinivasan.design/style-2.css	(from http://srinivasan.design/Google.html)
15:36:49	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	http://srinivasan.design/About.html	C:/My%20Web%20Sites/Portfolio/srinivasan.design/About.20.delayed	(from http://srinivasan.design/Google.html)
15:36:52	1095607/1095607	---M--	200	added ('OK')	image/png	etag:%225fd79f31-10b7b7%22	http://srinivasan.design/images/Accudrive.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/Accudrive.png	(from http://srinivasan.design/)
15:37:03	379562/379562	---M--	200	added ('OK')	image/png	etag:%225fd79f31-5caaa%22	http://srinivasan.design/images/My%20pic%202.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/My%20pic%202.png	(from http://srinivasan.design/about.html)
15:37:20	282766/282766	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fd79f31-4508e%22	http://srinivasan.design/jquery.js	C:/My%20Web%20Sites/Portfolio/srinivasan.design/jquery.js	(from http://srinivasan.design/Zoho%20Sheet.html)
15:37:23	48973/48973	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fd79f31-bf4d%22	http://srinivasan.design/jquery.cycle2.js	C:/My%20Web%20Sites/Portfolio/srinivasan.design/jquery.cycle2.js	(from http://srinivasan.design/Zoho%20Sheet.html)
